X,Y,Z,gX,gY,gZ,fall
-1.293945313,-6.98046875,6.7890625,0.006393433,0.009590149,0.004261017,0
-1.250976563,-7.02734375,6.80078125,0.002130508,0.02130127,-0.008522034,0
-1.321289063,-7.01953125,6.72265625,0.013847351,0.040466309,-0.007457733,0
-1.286132813,-6.890625,6.82421875,0.013847351,0.045806885,0.002130508,0
-1.249023438,-7.0625,6.81640625,0.007457733,0.039428711,0.01171875,0
-1.323242188,-7.015625,6.6953125,0,0.038360596,0.022369385,0
-1.279296875,-6.921875,6.91015625,0.006393433,0.043670654,0.0234375,0
-1.3515625,-6.9296875,6.91015625,0.541992188,0.400634766,-0.076721191,0
-1.272460938,-6.96875,6.8125,0.414306641,0.10333252,-0.190673828,0
-1.357421875,-7.00390625,6.9140625,0.318603516,0.112915039,-0.127807617,0
-1.307617188,-6.8515625,6.84375,0.136352539,0.03729248,-0.08416748,0
-1.236328125,-6.8515625,6.6875,0.12890625,0.004261017,-0.039428711,0
-1.287109375,-7,6.72265625,0.07989502,-0.007457733,-0.030899048,0
-1.352539063,-6.8984375,6.83984375,0.01171875,-0.022369385,-0.013847351,0
-1.223632813,-6.84765625,6.83984375,-0.052185059,-0.03729248,0,0
-1.23046875,-7.09375,6.8203125,-0.101196289,-0.047943115,0.01171875,0
-1.305664063,-7.125,6.77734375,-0.12890625,-0.053253174,0.02557373,0
-1.32421875,-6.94921875,6.796875,-0.136352539,-0.045806885,0.03515625,0
-1.41015625,-6.99609375,6.8828125,-0.151245117,-0.02130127,0.034088135,0
-1.361328125,-6.9375,6.8359375,-0.144897461,-0.013847351,0.027694702,0
-1.185546875,-6.9765625,6.703125,-0.11932373,-0.024505615,0.031951904,0
-1.254882813,-7.08984375,6.81640625,-0.106506348,-0.027694702,0.041534424,0
-1.2734375,-6.89453125,6.88671875,-0.112915039,-0.031951904,0.042602539,0
-1.286132813,-6.98046875,6.9453125,-0.133178711,-0.041534424,0.04473877,0
-1.303710938,-7.2265625,6.81640625,-0.17578125,-0.046875,0.050079346,0
-1.122070313,-6.953125,6.34375,-0.218383789,-0.050079346,0.05645752,0
-3.033203125,-7.3125,5.44140625,-0.256835938,-0.053253174,0.062866211,0
-0.718261719,-7.84375,7.8515625,-0.270507813,-0.052185059,0.052185059,0
-1.341796875,-5.4921875,7.66796875,-0.280273438,-0.066040039,0.062866211,0
-1.086914063,-6.2421875,7.1484375,-0.295166016,-0.08203125,0.085205078,0
-3.57421875,-4.5078125,8.0625,-0.317382813,-0.092651367,0.106506348,0
-3.5234375,-4.46484375,8.1015625,-0.343017578,-0.114013672,0.126831055,0
-3.396484375,-4.23046875,8.2578125,-0.374023438,-0.146972656,0.158691406,0
-3.3671875,-4.1484375,8.3203125,-0.436767578,-0.181152344,0.186401367,0
-3.36328125,-4.1953125,8.2421875,-0.526367188,-0.212036133,0.216308594,0
-3.326171875,-4.26171875,8.1328125,-0.622070313,-0.238647461,0.254638672,0
-3.34765625,-4.421875,8.0859375,-0.701171875,-0.274902344,0.295166016,0
-3.283203125,-4.48046875,8.1015625,-0.756347656,-0.343994141,0.345214844,0
-3.275390625,-4.59765625,8.1953125,-0.830078125,-0.430419922,0.412353516,0
-3.26171875,-4.671875,8.1328125,-0.959960938,-0.532714844,0.485839844,0
-3.353515625,-4.80859375,8.0625,-1.11328125,-0.629394531,0.546386719,0
-3.314453125,-4.7109375,8.1328125,-1.189453125,-0.719238281,0.586914063,0
-3.279296875,-4.59765625,8.1171875,-1.171875,-0.830078125,0.639160156,0
