X,Y,Z,gX,gY,gZ,fall
5.578125,-7.77734375,0.007183075,-0.043670654,0.003196716,-0.006393433,0
5.5703125,-7.83984375,-0.010772705,-0.059661865,0.001065254,-0.004261017,0
5.57421875,-7.86328125,-0.081420898,-0.067138672,-0.002130508,-0.001065254,0
5.55078125,-7.94140625,-0.056274414,-0.062866211,-0.006393433,0.003196716,0
5.5625,-7.984375,-0.072998047,-0.053253174,-0.004261017,0.006393433,0
5.5390625,-7.9921875,-0.05267334,-0.042602539,-0.001065254,0.008522034,0
5.5703125,-7.9765625,-0.02633667,-0.027694702,0,0.008522034,0
5.59375,-7.9609375,-0.025146484,-0.015975952,0,0.010650635,0
5.60546875,-7.984375,-0.001196861,-0.010650635,0.005325317,0.008522034,0
5.58984375,-7.9140625,0.008377075,-0.022369385,0.009590149,0.001065254,0
5.59765625,-7.8046875,0.01914978,-0.043670654,0.010650635,0.001065254,0
5.5625,-7.83203125,0,-0.065002441,0.017044067,-0.001065254,0
5.5546875,-7.87890625,-0.01436615,-0.076721191,0.013847351,-0.001065254,0
5.5546875,-7.875,-0.025146484,-0.08203125,0.013847351,0.004261017,0
5.5625,-7.91796875,-0.058654785,-0.076721191,0.014915466,0.004261017,0
5.56640625,-7.93359375,-0.040710449,-0.059661865,0.010650635,-0.001065254,0
5.55859375,-7.9296875,-0.03112793,-0.038360596,0.008522034,-0.012786865,0
5.546875,-7.97265625,0.046691895,-0.026626587,0.008522034,-0.018112183,0
5.56640625,-7.94921875,0.107727051,-0.020233154,0.008522034,-0.015975952,0
5.625,-7.89453125,0.098144531,-0.007457733,0.009590149,-0.012786865,0
5.6328125,-7.84765625,0.106567383,0.005325317,0.003196716,-0.005325317,0
5.60546875,-7.87890625,0.06463623,0.020233154,-0.01171875,0.005325317,0
5.58984375,-7.88671875,-0.01197052,0.039428711,-0.026626587,0.013847351,0
5.578125,-7.875,-0.082580566,0.059661865,-0.030899048,0.02130127,0
5.609375,-7.81640625,-0.104125977,0.076721191,-0.027694702,0.0234375,0
5.625,-7.85546875,0.003591537,0.094787598,-0.02557373,0.028762817,0
5.5390625,-7.8671875,0.106567383,0.108642578,-0.02130127,0.027694702,0
5.54296875,-7.87890625,0.096984863,0.100158691,-0.015975952,0.027694702,0
5.5703125,-7.88671875,0.077819824,0.078857422,-0.008522034,0.0234375,0
5.5625,-7.9296875,0.077819824,0.04473877,0.006393433,0.022369385,0
5.57421875,-7.953125,0.051483154,0.004261017,0.017044067,0.019180298,0
5.578125,-7.9453125,0.033508301,-0.030899048,0.026626587,0.009590149,0
5.6015625,-7.9140625,0.02633667,-0.043670654,0.029830933,0.008522034,0
5.62109375,-7.9140625,-0.0574646,-0.005325317,0.002130508,0.010650635,0
5.6015625,-7.8984375,-0.04309082,0.015975952,-0.01171875,0.0234375,0
5.578125,-7.8671875,-0.062255859,0.024505615,-0.013847351,0.029830933,0
5.5546875,-7.859375,-0.07421875,0.0234375,-0.002130508,0.026626587,0
5.578125,-7.8203125,-0.029922485,0.009590149,0.006393433,0.024505615,0
5.56640625,-7.8203125,-0.004787445,0,0.015975952,0.017044067,0
5.58984375,-7.82421875,-0.00957489,-0.009590149,0.020233154,0.013847351,0
5.59765625,-7.84765625,-0.071838379,-0.007457733,0.014915466,0.005325317,0
5.63671875,-7.7890625,-0.09576416,0.005325317,0.003196716,-0.004261017,0
5.61328125,-7.80078125,-0.086181641,0.005325317,0.002130508,-0.007457733,0
5.53125,-7.875,-0.01675415,0.014915466,0.001065254,-0.01171875,0
5.51171875,-7.91015625,-0.013168335,0.019180298,-0.002130508,-0.005325317,0
5.56640625,-7.859375,-0.02154541,0.002130508,0.010650635,0.020233154,0
5.62890625,-7.82421875,0.001196861,-0.005325317,0.017044067,0.014915466,0
5.640625,-7.87890625,-0.038299561,-0.008522034,0.013847351,0.006393433,0
5.60546875,-7.96484375,-0.0287323,-0.01171875,0.008522034,0.010650635,0
5.59375,-7.984375,-0.099365234,-0.019180298,0.003196716,0.015975952,0
5.6328125,-7.98828125,-0.102966309,-0.013847351,-0.004261017,0.022369385,0
5.6171875,-7.92578125,-0.111328125,-0.006393433,-0.009590149,0.027694702,0
5.6015625,-7.89453125,-0.110107422,-0.007457733,-0.004261017,0.026626587,0
5.56640625,-7.87109375,-0.081420898,-0.014915466,0.003196716,0.02130127,0
5.5859375,-7.87109375,-0.086181641,-0.02557373,0.005325317,0.017044067,0
5.62109375,-7.890625,-0.096984863,0.002130508,0.010650635,0.020233154,0
5.62890625,-7.921875,-0.086181641,-0.005325317,0.017044067,0.014915466,0
5.640625,-7.96484375,-0.058654785,-0.008522034,0.013847351,0.006393433,0
5.60546875,-8.0234375,-0.05267334,-0.01171875,0.008522034,0.010650635,0
5.61328125,-7.9921875,-0.087402344,-0.019180298,0.003196716,0.015975952,0
5.59375,-7.97265625,-0.125732422,-0.013847351,-0.004261017,0.022369385,0
5.5625,-7.953125,-0.147216797,-0.006393433,-0.009590149,0.027694702,0
5.5625,-7.87890625,-0.135253906,-0.007457733,-0.004261017,0.026626587,0
