X,Y,Z,gX,gY,gZ,fall
-2.60546875,6.15625,7.00390625,0.034088135,0.020233154,0.009590149,0
-2.478515625,5.8515625,6.93359375,0.053253174,0.03515625,0.001065254,0
-2.392578125,6.11328125,6.81640625,0.066040039,0.034088135,-0.006393433,0
-2.412109375,6.58984375,6.9296875,0.055389404,0.0234375,-0.01171875,0
-2.40625,6.45703125,7.0703125,0.027694702,0.009590149,-0.010650635,0
-2.349609375,6.125,7.30078125,-0.010650635,0,-0.002130508,0
-2.431640625,6.04296875,7.41015625,-0.02557373,0,0.007457733,0
-2.537109375,6.24609375,7.28515625,-0.019180298,-0.006393433,0.013847351,0
-2.55078125,6.17578125,7.046875,0,-0.003196716,0.015975952,0
-2.5,6.03515625,6.8359375,0.012786865,0.004261017,0.006393433,0
-2.48828125,6.13671875,6.875,0.010650635,0.015975952,-0.003196716,0
-2.380859375,6.04296875,6.99609375,0.029830933,0.01171875,-0.012786865,0
-2.306640625,5.953125,7.1796875,0.05645752,-0.006393433,-0.017044067,0
-2.3359375,5.98828125,7.2109375,0.050079346,-0.013847351,-0.013847351,0
-2.421875,6.06640625,7.24609375,0.007457733,-0.005325317,-0.004261017,0
-2.4921875,6.12890625,7.33984375,-0.017044067,0,0,0
-2.5625,6.2890625,7.359375,-0.029830933,-0.01171875,0.006393433,0
-2.607421875,6.4609375,7.05859375,-0.031951904,-0.017044067,0,0
-2.62890625,6.33203125,6.78515625,0.002130508,-0.002130508,-0.01171875,0
-2.603515625,5.9921875,6.97265625,0.059661865,0.010650635,-0.022369385,0
-2.50390625,5.98046875,7.0234375,0.088439941,0.01171875,-0.022369385,0
-2.369140625,6.11328125,7.125,0.087341309,0.005325317,-0.029830933,0
-2.3046875,6.140625,7.20703125,0.04901123,-0.005325317,-0.020233154,0
-2.4140625,6.171875,7.30859375,0.005325317,-0.017044067,-0.008522034,0
-2.482421875,6.04296875,7.359375,-0.022369385,-0.03515625,0.001065254,0
-2.4921875,6.0234375,7.1640625,-0.014915466,-0.038360596,0.009590149,0
-2.462890625,6.3671875,6.8203125,-0.015975952,-0.015975952,0.018112183,0
-2.541015625,6.5390625,6.671875,-0.018112183,0.01171875,0.006393433,0
-2.56640625,6.23828125,6.828125,-0.001065254,0.020233154,-0.007457733,0
