X,Y,Z,gX,gY,gZ,fall
-8.40625,1.90234375,3.09375,-0.05645752,-0.071350098,0.02130127,0
-8.265625,1.954101563,2.94921875,-0.047943115,-0.066040039,0.013847351,0
-8.3359375,2.138671875,3.412109375,-0.04901123,-0.096923828,0.003196716,0
-8.203125,1.9765625,3.798828125,-0.047943115,-0.038360596,0.0234375,0
-8.2421875,1.943359375,3.830078125,-0.03729248,-0.04901123,0.028762817,0
-8.2734375,2.017578125,3.91796875,-0.020233154,0.062866211,0.074584961,0
-8.34375,2.12890625,3.89453125,-0.018112183,0.03515625,0.066040039,0
-8.328125,2.171875,3.6171875,-0.03515625,0.010650635,0.071350098,0
-8.3515625,2.203125,3.4453125,-0.06817627,0.031951904,0.085205078,0
-8.3828125,2.517578125,3.5546875,-0.071350098,0.098022461,0.110778809,0
-8.3984375,2.69921875,3.671875,-0.03302002,0.251464844,0.137451172,0
-8.453125,2.83203125,3.80078125,0.017044067,0.289794922,0.1171875,0
-8.5,3.201171875,3.994140625,0.053253174,0.206665039,0.069213867,0
-8.6328125,3.59375,4.203125,0.077758789,0.092651367,0.028762817,0
-8.7265625,3.505859375,4.1171875,0.089477539,0.002130508,0.013847351,0
-8.8203125,3.234375,3.91015625,0.090576172,-0.026626587,0.012786865,0
-8.921875,2.904296875,3.765625,0.075622559,-0.027694702,0.007457733,0
-8.84375,2.6640625,3.716796875,0.06072998,-0.01171875,-0.007457733,0
-8.78125,2.509765625,3.6796875,0.031951904,0.009590149,0.003196716,0
-8.734375,2.533203125,3.712890625,-0.020233154,-0.028762817,0.040466309,0
-8.6015625,2.603515625,3.744140625,-0.063903809,-0.059661865,0.07244873,0
-8.546875,2.626953125,3.763671875,-0.03302002,-0.03302002,-0.010650635,0
-8.515625,2.65625,3.78515625,0.017044067,0.03515625,0.01171875,0
-8.515625,2.611328125,3.767578125,-0.007457733,0.055389404,0.014915466,0
-8.5078125,2.587890625,3.6640625,-0.005325317,0.03302002,-0.002130508,0
-8.5546875,2.67578125,3.625,0.006393433,0.0234375,-0.003196716,0
-8.609375,2.7265625,3.66015625,0.010650635,0.006393433,-0.007457733,0
-8.640625,2.806640625,3.734375,0.005325317,-0.010650635,-0.018112183,0
-8.640625,2.828125,3.66015625,-0.009590149,-0.02557373,-0.026626587,0
-8.578125,2.7734375,3.611328125,-0.024505615,-0.031951904,-0.028762817,0
-8.59375,2.744140625,3.630859375,-0.029830933,-0.036224365,-0.027694702,0
-8.5703125,2.55078125,3.576171875,-0.039428711,-0.043670654,-0.026626587,0
-8.6640625,2.42578125,3.400390625,-0.042602539,-0.046875,-0.0234375,0
-8.75,2.482421875,3.396484375,-0.038360596,-0.051147461,-0.020233154,0
-8.8515625,2.6171875,3.513671875,-0.030899048,-0.052185059,-0.02130127,0
-8.96875,2.763671875,3.638671875,-0.018112183,-0.050079346,-0.0234375,0
-9.0078125,2.896484375,3.62109375,0.001065254,-0.045806885,-0.0234375,0
-9.0078125,2.873046875,3.564453125,0.015975952,-0.038360596,-0.02557373,0
-9.015625,2.759765625,3.41796875,0.092651367,0.050079346,-0.066040039,0
-9.046875,2.763671875,3.337890625,0.24609375,0.10333252,-0.112915039,0
-9.0390625,2.69140625,3.39453125,0.249267578,0.059661865,-0.094787598,0
-8.9921875,2.537109375,3.501953125,0.158691406,-0.028762817,-0.08203125,0
-8.953125,2.505859375,3.5859375,0.10333252,-0.100158691,-0.08203125,0
-8.8828125,2.51953125,3.650390625,0.067138672,-0.07244873,-0.043670654,0
-8.828125,2.505859375,3.6484375,0.04901123,-0.007457733,-0.008522034,0
-9.125,2.6328125,3.453125,0.04901123,0.051147461,0.008522034,0
-8.2890625,2.421875,3.771484375,0.05645752,0.036224365,-0.009590149,0
-8.8203125,2.587890625,3.583984375,0.053253174,0.036224365,-0.005325317,0
-8.109375,2.59375,3.873046875,0.040466309,0.031951904,-0.002130508,0
-8.46875,2.63671875,3.6328125,0.013847351,0.018112183,-0.003196716,0
-8.609375,2.58984375,3.626953125,-0.002130508,0,-0.001065254,0
-8.2265625,2.6328125,3.82421875,-0.017044067,-0.014915466,0.001065254,0
-8.2890625,2.53515625,3.8671875,-0.028762817,-0.02557373,-0.003196716,0
-7.953125,2.373046875,3.83984375,-0.030899048,-0.03515625,-0.006393433,0
-8.3125,2.14453125,3.48046875,-0.0234375,-0.03515625,-0.004261017,0
-8.7421875,1.943359375,3.283203125,-0.018112183,-0.031951904,-0.001065254,0
-8.9296875,1.989257813,3.46875,0.05645752,0.036224365,-0.009590149,0
-9.0234375,2.283203125,3.71484375,0.053253174,0.036224365,-0.005325317,0
-8.9453125,2.669921875,3.771484375,0.040466309,0.031951904,-0.002130508,0
-8.8125,3.029296875,3.6015625,0.013847351,0.018112183,-0.003196716,0
-8.8203125,3.138671875,3.498046875,-0.002130508,0,-0.001065254,0
-8.6796875,3.0859375,3.583984375,-0.017044067,-0.014915466,0.001065254,0
