X,Y,Z,gX,gY,gZ,
3.04296875,1.999023438,9.1015625,-0.007457733,-0.03302002,-0.002130508,0
3.0546875,1.989257813,9.1171875,0.002130508,-0.027694702,0.012786865,0
3.16015625,2.076171875,9.1796875,0.005325317,-0.04901123,0.013847351,0
3.275390625,2.134765625,9.21875,0,-0.05645752,0.004261017,0
3.181640625,1.977539063,9.1171875,0,-0.028762817,0,0
3.087890625,1.975585938,9.09375,-0.001065254,-0.01171875,-0.003196716,0
3.181640625,1.881835938,8.9921875,-0.006393433,-0.015975952,-0.009590149,0
3.0703125,2.119140625,9.2265625,-0.014915466,-0.010650635,0.001065254,0
3.15625,2.138671875,9.1953125,-0.01171875,-0.001065254,0.01171875,0
2.931640625,2.05078125,9.1484375,-0.002130508,-0.004261017,0.012786865,0
2.986328125,2.02734375,9.046875,0.01171875,-0.006393433,0.010650635,0
3.0390625,2.0859375,9.0859375,0.022369385,0.001065254,0.005325317,0
3.068359375,2.06640625,9.09375,0.010650635,0,-0.002130508,0
3.060546875,2.015625,9.1328125,-0.007457733,-0.004261017,-0.003196716,0
3.16796875,2.04296875,9.2109375,-0.0234375,-0.019180298,-0.006393433,0
3.16796875,2,9.2265625,-0.028762817,-0.028762817,-0.010650635,0
3.0546875,1.997070313,9.203125,-0.022369385,-0.013847351,-0.006393433,0
3.06640625,1.99609375,9.171875,0,0.015975952,0.006393433,0
3.1171875,2.0078125,9.171875,0.01171875,0.031951904,0.006393433,0
3.0625,2.095703125,9.125,0.007457733,0.020233154,0,0
2.970703125,2.1484375,9.1171875,-0.008522034,-0.002130508,0,0
3.015625,2.158203125,9.109375,-0.02130127,-0.019180298,0.005325317,0
3.0546875,2.134765625,9.1171875,-0.018112183,-0.019180298,0.008522034,0
3.115234375,2.04296875,9.15625,-0.007457733,-0.014915466,0.001065254,0
3.10546875,2.0234375,9.203125,0,-0.012786865,-0.002130508,0
3.0234375,2.04296875,9.203125,0,-0.010650635,-0.004261017,0
3.01171875,1.908203125,9.125,-0.001065254,0,-0.005325317,0
3.103515625,1.975585938,9.1015625,-0.009590149,0.003196716,0.001065254,0
3.125,1.9921875,9.09375,-0.014915466,-0.003196716,0.005325317,0
2.94140625,2.091796875,9.125,-0.012786865,-0.009590149,0.001065254,0
3.1328125,2.08203125,9.2265625,-0.004261017,-0.001065254,0.004261017,0
3.2734375,2.060546875,9.234375,0,0.004261017,0.004261017,0
3.09765625,2.06640625,9.1328125,0.001065254,0.010650635,0.008522034,0
2.93359375,1.98046875,9.0625,-0.005325317,0.022369385,0.014915466,0
2.884765625,2.1328125,9.078125,-0.017044067,0.038360596,0.027694702,0
2.955078125,2.265625,9.140625,-0.0234375,0.04473877,0.03515625,0
3.138671875,2.2578125,9.125,-0.014915466,0.030899048,0.030899048,0
3.162109375,2.10546875,9.125,-0.004261017,0.008522034,0.022369385,0
3.205078125,2.01171875,9.1640625,-0.006393433,-0.001065254,0.02557373,0
3.1640625,2.0546875,9.171875,-0.002130508,-0.008522034,0.026626587,0
3.013671875,2.162109375,9.171875,-0.001065254,-0.014915466,0.024505615,0
2.9765625,2.12890625,9.109375,-0.015975952,-0.015975952,0.013847351,0
3.140625,2.138671875,9.0546875,-0.02130127,0.004261017,0.009590149,0
3.10546875,2.169921875,9.03125,-0.007457733,0.017044067,0.010650635,0
3.01171875,2.1796875,9.078125,0.005325317,0.020233154,0.003196716,0
3.080078125,2.12109375,9.1796875,0.009590149,0.042602539,0.008522034,0
3.068359375,2.07421875,9.1953125,0.004261017,0.061798096,0.012786865,0
3.111328125,2.0859375,9.203125,-0.001065254,0.038360596,0.015975952,0
3.18359375,2.015625,9.109375,-0.014915466,0,0.015975952,0
3.126953125,1.991210938,9.0390625,-0.026626587,-0.007457733,0.020233154,0
3.03125,2.037109375,9.0703125,-0.03302002,-0.031951904,0.001065254,0
3.08203125,2.1640625,9.15625,-0.015975952,-0.02557373,-0.006393433,0
3.294921875,2.09765625,9.1796875,0.003196716,0.004261017,-0.009590149,0
3.25390625,2.044921875,9.15625,0.017044067,0.02557373,-0.007457733,0
3.060546875,2.076171875,9.1015625,0.02130127,0.034088135,-0.007457733,0
3.10546875,2.076171875,9.046875,0.010650635,0.030899048,-0.001065254,0
3.173828125,2.080078125,9.1015625,-0.013847351,-0.006393433,0.010650635,0
