X,Y,Z,gX,gY,gZ,fall
-0.599609375,-9.4296875,1.668945313,0.036224365,0.014915466,-0.019180298,0
-0.575683594,-9.390625,1.647460938,0.031951904,0.003196716,-0.019180298,0
-0.575683594,-9.3359375,1.643554688,0.014915466,0.010650635,-0.004261017,0
-0.546875,-9.3203125,1.666015625,0.003196716,0.038360596,0.004261017,0
-0.432128906,-9.28125,1.739257813,-0.029830933,0.0703125,-0.007457733,0
-0.434570313,-9.34375,1.728515625,-0.03729248,0.06817627,0.007457733,0
-0.529296875,-9.4140625,1.739257813,-0.014915466,0.038360596,0.015975952,0
-0.58203125,-9.453125,1.740234375,0.015975952,0.001065254,-0.001065254,0
-0.634277344,-9.3984375,1.635742188,0.039428711,-0.03302002,-0.010650635,0
-0.56640625,-9.359375,1.59375,0.006393433,-0.017044067,-0.017044067,0
-0.558105469,-9.390625,1.49609375,-0.027694702,0.013847351,-0.027694702,0
-0.53515625,-9.34375,1.54296875,-0.019180298,0.013847351,-0.019180298,0
-0.501464844,-9.296875,1.599609375,0.001065254,0.001065254,-0.005325317,0
-0.58203125,-9.3671875,1.646484375,0.009590149,-0.006393433,-0.003196716,0
-0.601074219,-9.4609375,1.6328125,0.006393433,-0.002130508,-0.005325317,0
-0.4765625,-9.5234375,1.587890625,-0.002130508,-0.005325317,-0.004261017,0
-0.572265625,-9.53125,1.673828125,-0.012786865,-0.008522034,-0.020233154,0
-0.496826172,-9.5,1.594726563,-0.02130127,-0.008522034,-0.036224365,0
-0.38671875,-9.4765625,1.643554688,-0.008522034,-0.009590149,-0.029830933,0
-0.482421875,-9.4375,1.711914063,0.038360596,-0.010650635,-0.007457733,0
-0.483642578,-9.5078125,1.859375,0.080932617,-0.009590149,0.008522034,0
-0.438232422,-9.5078125,1.791992188,0.083068848,0,0.010650635,0
-0.527832031,-9.484375,1.616210938,0.052185059,0.014915466,-0.008522034,0
-0.55078125,-9.546875,1.625976563,0.024505615,0.019180298,-0.029830933,0
-0.420166016,-9.5078125,1.6640625,0.006393433,0.026626587,-0.030899048,0
-0.266845703,-9.390625,1.744140625,-0.01171875,0.03515625,-0.02130127,0
-0.245361328,-9.4375,1.771484375,-0.012786865,0.027694702,-0.020233154,0
-0.396240234,-9.5625,1.720703125,0,0.006393433,-0.02130127,0
-0.567382813,-9.46875,1.744140625,0.014915466,0.005325317,-0.019180298,0
-0.56640625,-9.3984375,1.706054688,0.014915466,0.015975952,-0.009590149,0
-0.526855469,-9.46875,1.669921875,0,0.017044067,-0.002130508,0
-0.50390625,-9.5234375,1.663085938,-0.024505615,0.018112183,-0.002130508,0
-0.548339844,-9.625,1.556640625,-0.041534424,0.03515625,0.002130508,0
-0.610351563,-9.53125,1.528320313,-0.03729248,0.043670654,-0.006393433,0
-0.585449219,-9.4453125,1.58984375,-0.030899048,0.038360596,-0.003196716,0
-0.548339844,-9.3671875,1.515625,-0.009590149,0.028762817,0.001065254,0
-0.605957031,-9.3515625,1.547851563,0.01171875,0.015975952,-0.004261017,0
-0.660644531,-9.3515625,1.64453125,0.022369385,0.015975952,-0.002130508,0
-0.586425781,-9.359375,1.6796875,0.034088135,0.018112183,-0.002130508,0
